chr,locus,model,start,stop,ori,is_TE,is_expressed,is_representative,annotation
Chr3,LOC_Os03g01008,LOC_Os03g01008.1,4465,6944,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01012,LOC_Os03g01012.1,8502,9736,-,N,Y,Y,tetraspanin family protein  putative  expressed
Chr3,LOC_Os03g01014,LOC_Os03g01014.1,13193,16729,+,N,Y,Y,expressed protein
Chr3,LOC_Os03g01018,LOC_Os03g01018.1,19106,20491,+,N,Y,Y,phosphoribosyl transferase  putative  expressed
Chr3,LOC_Os03g01016,LOC_Os03g01016.1,19876,23560,-,N,Y,N,expressed protein
Chr3,LOC_Os03g01016,LOC_Os03g01016.2,19876,23618,-,N,Y,Y,expressed protein
Chr3,LOC_Os03g01020,LOC_Os03g01020.1,26526,28075,+,N,Y,Y,pectinesterase inhibitor domain containing protein  putative  expressed
Chr3,LOC_Os03g01040,LOC_Os03g01040.1,32629,35891,+,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01050,LOC_Os03g01050.1,36282,38567,+,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01060,LOC_Os03g01060.1,39189,45594,-,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01070,LOC_Os03g01070.1,50134,53268,+,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01080,LOC_Os03g01080.1,53891,59854,-,Y,Y,Y,retrotransposon protein  putative  unclassified  expressed
Chr3,LOC_Os03g01090,LOC_Os03g01090.1,63385,66162,+,N,Y,Y,peptidyl-prolyl cis-trans isomerase  cyclophilin type  putative  expressed
Chr3,LOC_Os03g01100,LOC_Os03g01100.1,66406,71798,+,N,Y,Y,endonuclease  putative  expressed
Chr3,LOC_Os03g01110,LOC_Os03g01110.1,72028,85340,+,N,Y,Y,RNA methyltransferase  TrmH family protein  putative  expressed
Chr3,LOC_Os03g01120,LOC_Os03g01120.1,89042,99403,+,N,Y,Y,E1-E2 ATPase domain containing protein  expressed
Chr3,LOC_Os03g01130,LOC_Os03g01130.2,100700,104014,+,N,Y,N,ethylene-responsive element-binding protein  putative  expressed
Chr3,LOC_Os03g01130,LOC_Os03g01130.1,100700,104014,+,N,Y,Y,ethylene-responsive element-binding protein  putative  expressed
Chr3,LOC_Os03g01140,LOC_Os03g01140.1,104550,104979,-,N,Y,Y,acyl-activating enzyme 11  putative  expressed
Chr3,LOC_Os03g01150,LOC_Os03g01150.1,106514,110545,+,N,Y,Y,palmitoyl-protein thioesterase 1 precursor  putative  expressed
Chr3,LOC_Os03g01150,LOC_Os03g01150.2,106528,110545,+,N,Y,N,palmitoyl-protein thioesterase 1 precursor  putative  expressed
